"","","Birth","Death"
"1",0,0,3.00001859664917
"2",0,0,3.00167274475098
"3",0,0,3.01458597183228
"4",0,0,3.02138900756836
"5",0,0,3.02969837188721
"6",0,0,3.03260159492493
"7",0,0,3.0362446308136
"8",0,0,3.0371561050415
"9",0,0,3.05029010772705
"10",0,0,1.08398895160012
"11",0,0,0.610689342021942
"12",0,0,2.23332173483712
"13",0,0,1.92994737625122
"14",0,0,2.04750724633535
"15",0,0,0.807701981067657
"16",0,0,2.4021964439979
"17",0,0,2.99770987033844
"18",0,0,1.87979342937469
"19",0,0,1.65557312965393
"20",0,0,2.6749521361457
"21",0,0,2.01809334754944
"22",0,0,2.27602061629295
"23",0,0,0.889722421765327
"24",0,0,0.476451814174652
"25",0,0,0.819212307532628
"26",0,0,0.945317083283475
"27",0,0,0.833609640598297
"28",0,0,0.574368788645818
"29",0,0,2.5245076247624
"30",0,0,1.39720642566681
"31",0,0,1.32261374167034
"32",0,0,0.764332601657281
"33",0,0,2.4821102142334
"34",0,0,2.36962113380432
"35",0,0,2.43588619572776
"36",0,0,2.13010305166245
"37",0,0,1.24937660992146
"38",0,0,1.53418205181758
"39",0,0,2.0703971862793
"40",0,0,2.57399323251512
"41",0,0,0.821527500947317
"42",0,0,2.32939493656158
"43",0,0,2.50341868400574
"44",0,0,0.920380786613182
"45",0,0,2.78939490732939
"46",0,0,2.17921069264412
"47",0,0,0.540115169116429
"48",0,0,0.999370816875907
"49",0,0,0.315733999013901
"50",0,0,0.683281660079956
"51",0,0,0.861088238656521
"52",0,0,1.9875882267952
"53",0,0,2.89177465438843
"54",0,0,2.72073522690804
"55",0,0,2.45485906600952
"56",0,0,2.59625524282455
"57",0,0,2.63571162223816
"58",0,0,1.77791178226471
"59",0,0,0.815002051266757
"60",0,0,0.817314992348353
"61",0,0,0.377612897327968
"62",0,0,0.849147889763117
"63",0,0,2.42126498222351
"64",1,2.68105387687683,3.40022563934326
"65",1,2.59507966041565,3.39472007751465
"66",1,3.29744842648506,3.39696469902992
"67",1,1.72921960055828,1.80857881903648
"68",1,2.63341212272644,2.67278155413541
"69",1,1.42248680958381,1.46753721053784
"70",1,3.1972492535909,3.39550010363261
"71",1,2.41172184944153,2.47325482368469
"72",1,1.887289305528,1.97136377294858
"73",1,3.06775637106462,3.21144656701521
"74",1,1.52673077583313,1.62534840106964
"75",1,1.27920921643575,1.36365973949432
"76",1,2.29160829385122,2.33390337228775
"77",1,2.06322538852692,2.1469179391861
"78",1,3.1963427066803,3.28741021156311
"79",1,2.37049121856689,2.7182119846344
"80",1,2.8165723880132,3.09787640968959
"81",1,3.0202863017718,3.35568469762802
"82",1,1.12686013698578,1.17088310241699
"83",1,2.82592158317566,2.94621706008911
"84",1,1.19244476727077,1.21621254512242
"85",1,3.30708241462708,3.32813522219658
"86",1,0.484107186396917,0.513283391793569
"87",1,0.980204641819,1.04709398150444
"88",1,2.86795487999916,3.2928900718689
"89",1,3.11969898297237,3.31706655942477
"90",1,1.13945897817612,1.31434053182602
"91",1,2.68437853226295,2.96991617862995
"92",1,0.763489723205566,0.773537635803223
"93",1,3.07287672587803,3.1092369556427
"94",1,2.69389698505402,3.18190205097198
"95",1,1.12767788997063,1.25305039149064
"96",1,2.21244033177694,2.46045009295146
"97",1,1.08273541927338,1.12263988951842
"98",2,3.41707706451416,3.61982870101929
"99",2,2.56783073289054,2.60536772864205
"100",2,1.46397143602371,1.48015634218852
"101",2,3.79973850250244,3.84286551475525
"102",2,1.21775689721107,1.24227051933606
"103",2,3.13716239929199,3.18937554359436
"104",2,3.3889105460223,3.48280912287095
