"","Means_dim0_birth","Means_dim0_death","sd_dim0_birth"
"1",0,Inf,0
"2",0,Inf,0
"3",0,Inf,0
"4",0,Inf,0
"5",0,Inf,0
"6",0,Inf,0
"7",0,Inf,0
"8",0,Inf,0
"9",0,Inf,0
"10",0,Inf,0
"11",0,Inf,0
"12",0,Inf,0
"13",0,Inf,0
"14",0,Inf,0
"15",0,Inf,0
"16",0,Inf,0
"17",0,Inf,0
"18",0,Inf,0
"19",0,Inf,0
"20",0,Inf,0
"21",0,Inf,0
"22",0,Inf,0
"23",0,Inf,0
"24",0,Inf,0
"25",0,Inf,0
"26",0,Inf,0
"27",0,Inf,0
"28",0,Inf,0
"29",0,Inf,0
"30",0,Inf,0
"31",0,Inf,0
"32",0,Inf,0
"33",0,Inf,0
"34",0,Inf,0
"35",0,Inf,0
"36",0,Inf,0
"37",0,Inf,0
"38",0,Inf,0
"39",0,Inf,0
"40",0,Inf,0
"41",0,Inf,0
"42",0,Inf,0
"43",0,Inf,0
"44",0,Inf,0
"45",0,Inf,0
"46",0,Inf,0
"47",0,Inf,0
"48",0,Inf,0
"49",0,Inf,0
"50",0,Inf,0
"51",0,Inf,0
"52",0,Inf,0
"53",0,Inf,0
"54",0,Inf,0
"55",0,Inf,0
"56",0,Inf,0
"57",0,Inf,0
"58",0,Inf,0
"59",0,Inf,0
"60",0,Inf,0
"61",0,Inf,0
"62",0,Inf,0
"63",0,Inf,0
"64",0,Inf,0
"65",0,Inf,0
"66",0,Inf,0
"67",0,Inf,0
"68",0,Inf,0
"69",0,Inf,0
"70",0,Inf,0
"71",0,Inf,0
"72",0,Inf,0
"73",0,Inf,0
"74",0,Inf,0
"75",0,Inf,0
"76",0,Inf,0
"77",0,Inf,0
"78",0,Inf,0
"79",0,Inf,0
"80",0,Inf,0
"81",0,Inf,0
"82",0,Inf,0
"83",0,Inf,0
"84",0,Inf,0
"85",0,Inf,0
"86",0,Inf,0
"87",0,Inf,0
"88",0,Inf,0
"89",0,Inf,0
"90",0,Inf,0
"91",0,Inf,0
"92",0,Inf,0
"93",0,Inf,0
"94",0,Inf,0
"95",0,Inf,0
"96",0,Inf,0
"97",0,Inf,0
"98",0,Inf,0
"99",0,Inf,0
"100",0,Inf,0
"101",0,Inf,0
"102",0,Inf,0
"103",0,Inf,0
"104",0,Inf,0
"105",0,Inf,0
"106",0,Inf,0
"107",0,Inf,0
"108",0,Inf,0
"109",0,Inf,0
"110",0,Inf,0
"111",0,Inf,0
"112",0,Inf,0
"113",0,Inf,0
"114",0,Inf,0
"115",0,Inf,0
"116",0,Inf,0
"117",0,Inf,0
"118",0,Inf,0
"119",0,Inf,0
"120",0,Inf,0
"121",0,Inf,0
"122",0,Inf,0
"123",0,Inf,0
"124",0,Inf,0
"125",0,Inf,0
"126",0,Inf,0
"127",0,Inf,0
"128",0,Inf,0
"129",0,Inf,0
"130",0,Inf,0
"131",0,Inf,0
"132",0,Inf,0
"133",0,Inf,0
"134",0,Inf,0
"135",0,Inf,0
"136",0,Inf,0
"137",0,Inf,0
"138",0,Inf,0
"139",0,Inf,0
"140",0,Inf,0
"141",0,Inf,0
"142",0,Inf,0
"143",0,Inf,0
"144",0,Inf,0
"145",0,Inf,0
"146",0,Inf,0
"147",0,Inf,0
"148",0,Inf,0
"149",0,Inf,0
"150",0,Inf,0
"151",0,Inf,0
"152",0,Inf,0
"153",0,Inf,0
"154",0,Inf,0
"155",0,Inf,0
"156",0,Inf,0
"157",0,Inf,0
"158",0,Inf,0
"159",0,Inf,0
"160",0,Inf,0
"161",0,Inf,0
"162",0,Inf,0
"163",0,Inf,0
"164",0,Inf,0
"165",0,Inf,0
"166",0,Inf,0
"167",0,Inf,0
"168",0,Inf,0
"169",0,Inf,0
"170",0,Inf,0
"171",0,Inf,0
"172",0,Inf,0
"173",0,Inf,0
"174",0,Inf,0
"175",0,Inf,0
"176",0,Inf,0
"177",0,Inf,0
"178",0,Inf,0
"179",0,Inf,0
"180",0,Inf,0
"181",0,Inf,0
"182",0,Inf,0
"183",0,Inf,0
"184",0,Inf,0
"185",0,Inf,0
"186",0,Inf,0
