,avg_dist_dim1,avg_dist_dim2,sd_dist_dim1,sd_dist_dim2
1,0.049947261,0.008190618,0.047816816,0.047816816
2,0.022369332,0.016319382,0.02507083,0.02507083
3,0.022095347,0.005694497,0.024595858,0.024595858
4,0.028300292,0.01062917,0.0366099,0.0366099
5,0.054891283,0.024303652,0.054187306,0.054187306
6,0.026874764,0.005772198,0.023432094,0.023432094
7,0.01164876,0.009357242,0.013300507,0.013300507
8,0.050791164,0.022367853,0.057009334,0.057009334
9,0.045991951,0.012662667,0.046085325,0.046085325
10,0.0269245,0.012111066,0.028334267,0.028334267
11,0.050392821,0.012105392,0.039626024,0.039626024
12,0.012804196,0.001250441,0.015949524,0.015949524
13,0.090928627,0.034396549,0.105695935,0.105695935
14,0.044142518,0.015312405,0.04564738,0.04564738
15,0.050720468,0.012893647,0.061640725,0.061640725
16,0.057296638,0.010915862,0.062226776,0.062226776
17,0.039871552,0.01166286,0.030995825,0.030995825
18,0.024415256,0.003547305,0.022321127,0.022321127
19,0.021994629,0.009885343,0.017642304,0.017642304
20,0.052176782,0.007295944,0.047864363,0.047864363
21,0.016658061,0.003559906,0.020056118,0.020056118
22,0.027984486,0.00569447,0.077837399,0.077837399
23,0.049987124,0.011597252,0.050384984,0.050384984
24,0.040348539,0.013140197,0.050107709,0.050107709
25,0.051728624,0.012795091,0.061489121,0.061489121
26,0.018403134,0.003497259,0.016905896,0.016905896
27,0.036264731,0.012402392,0.039212601,0.039212601
28,0.07065736,0.022267642,0.072912717,0.072912717
29,0.018067205,0.004323722,0.02540623,0.02540623
30,0.028198427,0.009164915,0.042912753,0.042912753
31,0.034249031,0.016074964,0.0401054,0.0401054
32,0.042136098,0.012986306,0.042304291,0.042304291
33,0.046544569,0.013044785,0.04137671,0.04137671
34,0.062400835,0.014656819,0.09087907,0.09087907
35,0.05691202,0.009280794,0.050774508,0.050774508
36,0.03701166,0.007338024,0.053025847,0.053025847
37,0.0207671,0.008327949,0.016858462,0.016858462
38,0.050907187,0.004825827,0.070535164,0.070535164
39,0.048529835,0.012559204,0.054773491,0.054773491
40,0.027067007,0.004626117,0.034063452,0.034063452
41,0.093907519,0.013337487,0.118288549,0.118288549
42,0.127733704,0.00563332,0.150926027,0.150926027
43,0.028046503,0.006345715,0.03399935,0.03399935
