,0
1,-1.162911672
2,-0.724065738
3,15.80991408
4,-1.097737771
5,0.09282409
6,2.957519741
7,-0.816088808
8,3.125275254
9,-0.344021091
10,-0.736852588
11,1.047384924
12,4.358649279
13,5.582405817
14,-1.210753228
15,-0.886646206
16,21.01824181
17,-0.467831289
18,-0.262611544
19,8.603217015
20,12.54702393
21,-1.369373428
22,9.143627728
23,8.282013239
24,3.260826799
25,-1.202286925
26,-0.836576981
27,-0.110116219
28,-0.35421976
29,0.695707988
30,-1.586382572
31,-1.097570876
32,-1.446080409
33,-1.007918417
34,-0.568915289
35,-0.676132259
36,20.3832523
37,12.97408514
38,5.313899956
39,9.244765903
40,-0.514800756
41,0.018567543
42,-0.518879992
43,9.717465364
44,0.018120044
45,-0.563815981
46,0.959287503
47,-1.260726132
48,-0.264918966
49,0.336427731
50,2.358369394
51,-1.035527131
52,-0.621638368
53,0.008854372
54,0.664012531
55,-0.93668369
56,1.596732486
57,2.610435847
58,2.878127055
59,-0.144368479
60,-0.95604754
61,0.72681514
62,-0.655650555
63,0.164105001
64,-1.055223058
65,3.606477235
66,-1.235099471
67,-0.002454852
68,5.390650113
69,2.390146625
70,4.481172577
71,0.224339473
72,-0.714847601
73,0.733722891
74,1.882273732
75,-1.186001286
76,0.026664204
77,-0.456833309
78,8.658749758
79,0.984424213
80,-0.383000845
81,5.100360866
82,11.03540318
83,5.759153915
84,5.728081464
85,1.05579693
86,15.14304808
87,-1.871006972
88,7.361559843
89,0.452393546
90,0.124392158
91,-0.935388467
92,2.229866688
93,1.114605123
94,-1.075360828
95,-0.33817611
96,34.17531512
97,-0.810487937
98,-1.030744517
99,4.803870156
100,-1.846827751
101,-0.704557462
102,-0.760642217
103,-0.431610995
104,-1.119494964
105,-0.13587714
106,1.915764083
107,29.56514584
108,0.472399399
109,-1.171638603
110,6.018674128
111,6.213158081
112,0.136190061
113,0.184583426
114,-0.977686029
115,3.108837733
116,0.436694694
117,-0.97346791
118,17.00933748
119,5.131622005
120,3.368469171
121,1.725500552
122,-1.047099706
123,1.57517484
124,0.931741664
125,-1.350222338
126,1.966064627
127,-0.702853787
128,0.131247184
129,-1.134215807
130,18.49816669
131,-1.257534785
132,-0.751559155
133,16.71485525
134,6.587725075
135,0.838422849
136,-1.071881315
137,0.015491396
138,12.02720164
139,-0.804800352
140,-1.205312731
141,-0.86814631
142,-0.973281111
143,-0.292311843
144,-0.612375092
145,1.10952833
146,-0.783088574
147,-0.827263631
148,-0.07163268
149,1.06468085
150,2.758819862
151,-0.904388593
152,-0.193154207
153,9.427784773
154,-0.367601578
155,-1.820073693
156,0.383832997
157,8.851787879
158,6.19385139
159,-1.982331794
160,-1.024139877
161,2.488579096
162,-0.779116476
163,11.29341077
164,-1.356579061
165,0.780834497
166,-0.873708885
167,0.187069964
168,-0.481735932
169,2.66196726
170,8.511806342
171,-0.024392935
172,-0.257513319
173,5.352006434
174,13.7498884
175,16.81824709
176,9.835506
177,1.598782341
178,3.037035388
179,-0.435537795
180,11.83880663
181,42.61611329
182,4.283076661
183,3.846962638
184,7.804497768
185,9.113186943
186,-1.437294407
187,4.587347252
188,-0.996369111
189,-0.900225068
190,10.28024043
191,19.54811631
192,-0.366126748
193,-0.366256059
194,0.75109446
195,1.95540064
196,-2
197,-0.855339849
198,-1.229743915
199,-0.200767326
200,-0.538851363
201,-0.651507011
202,-1.35515894
203,0.279367321
204,-0.427959784
205,-0.633075311
206,-0.772788182
207,0.639029647
208,-0.641131721
209,-0.613952514
210,-0.503642146
211,8.289011277
212,-1.38634227
213,12.99593382
214,-0.601701672
215,11.30052581
216,-0.42467648
217,0.223605209
218,4.234096337
219,0.023225629
220,-0.787396256
221,-1.283296637
222,7.665968829
223,1.528906567
224,-0.913122697
225,-0.314174671
226,-0.623004503
227,6.158277462
228,-0.121179635
229,-0.740736148
230,2.972702025
231,0.164205418
232,2.057857102
233,0.05319872
234,1.19064483
235,-0.837017179
236,-0.966497862
237,17.17199026
238,15.50362635
239,-0.731561258
240,7.177378654
241,-0.441221029
242,10.30218177
243,4.190342309
244,8.620780138
245,5.433114304
246,-1.290434769
247,0.319946369
248,2.120397346
249,1.256754205
250,48.74644563
251,2.673859395
252,2.596726006
253,0.287619047
254,-0.184695958
255,-0.966665435
256,-1.098048234
257,-1.039155751
258,0.858195566
259,-0.797190179
260,-1.961857074
261,-0.832152801
262,-0.244636833
263,-0.875159926
264,1.03813336
265,15.65059593
266,-0.706450703
267,-0.685277919
268,-0.555026785
269,-0.707208412
270,-0.678380798
271,0.030299418
272,0.320736232
273,1.117101643
274,4.959179057
275,-0.255135215
276,11.13534569
277,-0.071916494
278,-1.232221665
279,-0.798476491
280,-0.23367047
281,-0.442401002
282,-0.356972628
283,-0.770827196
284,-0.505794668
285,34.26832417
286,-0.004973255
287,5.312124338
288,16.59708188
289,-0.544447437
290,10.89080015
291,4.300277406
292,7.526877263
293,-0.774042757
294,0.315543989
295,0.803110146
296,8.196512319
297,-0.591828698
298,-1.123415271
299,0.750991355
300,-0.036934252
301,0.138312815
302,-0.003320168
303,2.398160969
304,-0.305324118
305,6.648557306
306,0.025878899
307,8.372856179
308,-0.296551576
309,0.923852239
310,-0.541065915
311,-0.170828371
312,-1.081931273
313,-1.062744887
314,1.47977276
315,13.07851634
316,-1.364119506
317,4.897628712
318,13.55856738
319,3.188740238
320,0.110664858
321,-0.882206877
322,-1.077559099
323,2.443149034
324,-1.025262536
325,-1.8728738
326,-0.412163289
327,-0.66883451
328,-0.764902826
329,-0.23697279
330,4.275793427
331,-0.88044044
332,4.920280263
333,0.292650518
334,0.316187816
335,24.65967405
336,0.244170378
337,-1.14261095
338,-0.272953335
339,1.184161356
340,3.722756699
341,0.506820753
342,2.669306348
343,14.15330008
344,-0.437511533
345,-0.216130009
346,-0.494458187
347,6.735636285
348,0.932587285
349,9.200669743
350,-0.529948241
351,0.377255971
352,0.043719998
353,4.027114734
354,-0.962093637
355,-1.11516063
356,-0.392592322
357,2.524384426
358,-0.817400579
359,-1.037151856
360,-1.000620438
361,15.92864986
362,2.484460476
363,-0.342959267
364,-0.313435616
365,-0.742972617
366,-0.229827666
367,2.487799316
368,-1.671338813
369,0.172648755
370,-1.152909028
371,12.93294375
372,-0.586726399
373,31.67940509
374,-1.048049944
375,-1.014074856
376,11.80728806
377,0.412817809
378,-0.463528855
379,8.419911827
380,3.587450536
381,-0.734066787
382,-0.362075847
383,-0.698998974
384,-1.967628147
385,-0.519647989
386,-1.01556612
387,2.344461307
388,19.43249204
389,27.09251071
390,1.460891433
391,-0.870915613
392,3.56947155
393,0.296582521
394,2.662196693
395,1.035314869
396,0.986410401
397,0.73097868
398,-0.436065527
399,19.98649566
400,13.15138567
401,12.77418846
402,-0.329413395
403,0.393776918
404,-1.484579861
405,0.684956652
406,0.10615229
407,7.54326035
408,-1.062578302
409,-1.101180577
410,2.734266053
411,-0.800453077
412,24.13718707
413,6.031436241
414,2.113173309
415,3.294810462
416,-0.477127287
417,6.114224923
418,1.282650403
419,-0.041962473
420,1.098778092
421,2.529850039
422,4.787859863
423,14.81749632
424,11.85905571
425,20.29063551
426,16.61567407
427,2.999477111
428,0.169675929
429,-0.635433447
430,-1.196098546
431,4.365757065
432,0.007298223
433,10.61485433
434,17.97330809
435,-0.813550455
436,16.35889622
437,7.84789113
438,-1.958414841
439,-0.213607032
440,-0.28294277
441,-0.821064195
442,-0.068230479
443,-0.509843284
444,10.95223084
445,3.098344418
446,4.516044582
447,0.367441521
448,-0.449524415
449,-0.120466433
450,-0.9784425
451,-1.048224451
452,14.58823757
453,2.800319762
454,0.044279694
455,22.45066535
456,-0.05333412
457,21.43629214
458,-1.653669906
459,-0.702496769
460,0.675308498
461,2.013979838
462,34.29103005
463,0.416512112
464,0.289179851
465,0.787580041
466,-0.174361506
467,-0.934221754
468,4.340698215
469,-0.113449215
470,53.74871027
471,-0.716573536
472,-1.401998158
473,0.55909329
474,7.696571362
475,8.607518473
476,-1.173102705
477,-0.859907337
478,1.849656149
479,11.54888431
480,-1.08184931
481,-0.454961405
482,-0.56093776
483,-0.841379853
484,-1.096749511
485,-0.866278304
486,-0.642075242
487,-1.239786174
488,31.00139481
489,30.87706728
490,-1.031403285
491,0.194783409
492,0.179013813
493,1.415428271
494,-0.839561814
495,0.171631388
496,-1.356214041
497,-0.771139174
498,2.907003768
499,-0.362262276
500,-0.791841673
501,0.534352485
502,0.674754337
503,7.627860254
504,-1.272737663
505,-0.47282557
506,-0.405317025
507,0.352731535
508,-0.011669428
509,-1.071017599
510,1.266108637
511,-0.32301949
512,0.256137209
513,-0.955346906
514,-0.522349015
515,-0.824559137
516,5.877691252
517,2.699239677
518,14.6873703
519,-0.708465381
520,0.631178909
521,3.156921783
522,5.062152474
523,7.20197096
524,-0.48336134
525,8.339686071
526,4.673366739
527,-1.051276135
528,18.12702906
529,7.649232589
530,18.76911889
531,6.082402938
532,-0.452388333
533,4.746580956
534,-0.800904482
535,11.52870458
536,0.87514944
537,-1.388168772
538,-0.066968168
539,10.55192808
540,5.846997485
541,0.919874934
542,0.420848145
543,-0.858098302
544,10.67186296
545,-1.37824655
546,9.132442337
547,7.498728909
548,-0.462456849
549,-1.297876032
550,2.982061587
551,5.175096249
552,-0.387123429
553,-0.682498852
554,4.890366364
555,-0.496106487
556,-0.381217846
557,6.140335055
558,0.004845249
559,-0.095382376
560,20.23980545
561,-1.229402676
562,-0.461133688
563,18.05243343
564,-0.835348407
565,0.046923675
566,0.557600948
567,3.392371253
568,0.623057435
569,12.92934553
570,-0.297830431
571,34.52337663
572,3.016244683
573,5.020747057
574,24.80860525
575,-0.440783662
576,23.08933427
577,-1.302990173
578,5.046145509
579,3.539468668
