,kurt_life_dim0,kurt_life_dim1,kurt_life_dim2
1,1.659993311,31.35850435,6.197911198
2,4.514338991,7.469568818,3.175488573
3,4.257901379,69.68280811,9.740618048
4,2.892371189,32.84358518,3.526730593
5,2.786593361,3.965609342,4.779768063
6,1.843007752,4.924736678,3.052425904
7,5.763644982,94.23763547,2.58372083
8,2.771379308,4.973885184,4.16741425
9,2.228764445,12.07681623,7.346881472
10,6.302908655,6.548327573,4.535431697
11,2.902688922,170.9459014,7.034686845
12,9.244143495,49.81478323,1.903140415
13,5.838068769,7.205683762,3.661840332
14,1.951217468,8.162946456,7.988039355
15,3.385471354,23.08732989,19.51834969
16,5.362392819,15.88770923,14.10126267
17,2.914848402,22.33633753,6.64040299
18,4.093451466,43.66760085,8.725784275
19,4.990046545,2.829682725,4.224575423
20,2.473755872,2.663485449,10.23272315
21,10.44139702,55.27447874,1.970346228
22,8.232024917,54.66217453,4.692030373
23,3.01719616,6.833168243,5.783497287
24,2.44964831,29.04728958,7.425293392
25,2.687415656,8.953816926,6.353626542
26,2.568980405,77.54397056,1.622854633
27,2.5062033,24.3726193,7.145980183
28,2.351403152,4.202616543,2.945919516
29,2.888996583,17.01719094,4.242194493
30,2.776289926,285.1771774,12.17071272
31,3.264759635,241.5027281,8.793134472
32,3.831310468,71.15281026,1.737941861
33,3.832635383,266.4505629,7.873689867
34,4.234779775,148.2726035,34.60125919
35,3.033154815,5.518174994,11.34339514
36,5.602400624,162.0018059,21.3701755
37,7.815181744,460.8485961,6.239383092
38,3.545820957,2.872269997,2.383165022
39,5.579130359,43.10602661,8.074876439
40,3.071711607,14.55947466,5.060294342
41,6.078120044,338.7362181,10.87590611
42,2.812625289,15.13159441,40.12582928
43,3.085466882,21.9466581,7.295655021
44,2.287708212,28.81979671,1.813817386
45,3.948693799,2.696125825,6.74652064
46,2.424479802,120.3509196,16.55892145
47,7.493143123,87.44644867,5.760052392
48,3.165682864,19.16612712,3.808815581
49,2.973095112,6.491478545,4.032598265
50,2.722701704,89.81040929,12.86595614
51,1.990666707,9.124964035,11.60714537
52,2.713488754,20.39676217,15.3710308
53,2.390273528,3.86293421,13.81832833
54,3.841477612,187.6818085,18.49687025
55,4.448635084,240.029433,7.144000637
56,4.005003172,80.40569144,21.88704923
57,2.030260084,203.2644307,3.421399405
58,6.565881781,274.0201317,8.221964007
59,2.591310296,43.01795213,5.769362831
60,4.228331033,2.675539791,10.70188707
61,6.379268243,5.609794099,2.171586849
62,2.50440436,56.30243633,2.946798573
63,2.419213532,7.509567801,8.14569125
64,3.263188917,75.27710917,6.570377914
65,4.791652074,16.68371986,12.79623227
66,2.899611752,14.08838763,14.86514769
67,2.047875666,141.3067274,6.806740946
68,2.799196736,2.913982983,13.02194233
69,3.663415721,42.35113614,5.557340612
70,18.40476097,12.88032862,0
71,4.58505047,37.26627408,3.522830289
72,4.199984794,41.71819632,13.75980567
73,5.2362834,409.3322986,8.248871559
74,1.881879648,89.37670421,1.974117045
75,2.992666715,42.25946706,7.672027542
76,3.499210702,33.77551416,7.112024553
77,2.584288571,31.00926823,4.437589241
78,2.789390249,80.88682865,3.146367316
79,4.654681895,20.56798903,3.249233665
80,4.416795196,48.64579888,3.917388828
81,2.398863233,8.088208531,4.490581611
82,2.913027108,9.043095251,9.811069821
83,3.16775253,68.33438999,4.372059197
84,2.71303404,42.82692427,11.48709114
85,6.655340935,243.7329112,6.964274899
86,6.118957673,104.9377471,5.749465856
87,3.005362426,10.28290603,2.174791527
88,2.235689893,3.182282174,6.623488243
89,5.528621856,62.92468785,18.21097915
90,1.984109448,16.00484398,8.190925211
91,3.361378479,60.2202988,17.22644167
92,3.312397245,4.301099696,9.272184683
93,3.904768652,86.33135274,20.23981947
94,1.954052978,10.15476875,3.483224308
95,2.972927775,6.940941326,8.016506394
96,3.562151256,174.085252,3.13227343
97,4.496756452,18.73449597,14.62528318
98,2.006983478,4.953960354,3.056673578
99,4.888664807,200.4734,10.11925378
100,2.459517226,102.042798,6.866378889
101,2.861966334,3.38455159,7.606580475
