,skew_life_dim0,skew_life_dim1,skew_life_dim2
1,0.288614611,4.504488144,1.922934201
2,1.168905732,1.893530394,1.092048871
3,1.416098604,6.212645276,2.192165042
4,0.544321577,4.368102441,0.920895203
5,0.344826363,1.226420252,1.463519892
6,0.188463069,1.143318904,0.992051635
7,1.873734688,9.346610711,0.709777597
8,0.932276736,1.492304103,1.458962114
9,0.18047122,2.119232905,2.018993969
10,-0.330039279,1.860751062,1.510761569
11,-0.289971953,10.75802099,1.928246446
12,1.425855402,6.555807076,-0.278193904
13,1.776681743,1.872776946,1.154613841
14,0.008355148,1.786587218,2.239758571
15,0.690444071,3.539880433,3.373120984
16,1.4708604,2.744802397,3.250826511
17,-0.011272814,2.71354686,2.065916291
18,0.780242614,4.787266494,2.159207451
19,1.692404379,0.953105361,1.046649996
20,0.283514252,0.776776744,2.50580314
21,2.551129748,6.482056933,0.651777691
22,2.56873977,6.569523464,1.428878837
23,0.688620177,1.812414228,1.82762534
24,-0.397729058,3.992954734,2.146640585
25,-0.684967202,2.188384418,1.912014242
26,0.652277195,7.953016805,0.619977658
27,-0.056558064,3.6055346,1.900866286
28,-0.408681876,1.421397,1.080393433
29,0.597552023,3.455372783,1.055338271
30,-0.241624268,15.84842069,2.423818423
31,0.340036605,12.7970912,2.405469377
32,-0.828291351,6.861246001,0.286896498
33,0.552917893,15.82805206,2.071324252
34,1.234572768,10.74124077,4.367540287
35,-0.027075849,1.259176513,2.326531144
36,1.876585211,12.16406526,3.836418622
37,2.488496904,21.29395874,1.675193273
38,1.035875309,1.269208283,0.761973636
39,-1.477096687,5.199741641,2.167991375
40,1.006616527,2.893805241,1.62607772
41,1.798165771,17.6067695,2.783910877
42,0.754118736,2.418400528,5.498396778
43,0.835623641,3.24845206,2.266115118
44,0.725131627,5.26319732,0.632211703
45,-1.351207234,0.919078905,1.942876251
46,0.769731644,8.908808676,2.609537043
47,1.890091984,9.115698191,1.502171366
48,-0.051785325,2.86799289,1.194998382
49,-0.003612372,1.620163275,1.358962456
50,0.635194958,8.089948752,2.879391622
51,0.278534233,2.335399203,2.410960443
52,0.790588944,2.712751497,3.338714881
53,-0.549454278,1.160859689,2.922391761
54,1.330256716,13.28200089,4.04973938
55,1.666363719,14.78031342,2.027473536
56,0.95358376,8.057163158,4.082084932
57,0.42606053,13.49211048,1.140375365
58,2.051748928,14.1607139,2.252130272
59,0.966537986,4.760252549,1.579556789
60,0.62827972,0.976842962,2.424686789
61,2.131682348,1.787028956,0.127318574
62,0.358399248,6.556243498,0.746745465
63,-0.101445399,1.757515477,2.275119083
64,0.627914037,6.899384276,1.797149689
65,1.439607679,3.168317579,3.008635027
66,0.919647447,2.653768529,3.117879802
67,-0.006270947,9.706929833,1.94664689
68,0.723872907,0.811882874,2.738141536
69,1.178952222,5.49791188,1.736543978
70,2.428384326,3.364715414,0
71,1.365073939,4.489190695,1.152210288
72,0.991379345,5.339430055,2.591904808
73,1.768594747,19.8228385,2.079689162
74,0.194243338,9.248154543,0.630933469
75,0.664708954,4.143822602,2.12422193
76,0.485460645,3.283852796,1.925855914
77,0.647430087,4.491168874,1.576245362
78,0.661727115,7.086778672,0.944771446
79,0.375261889,3.105737172,1.151076079
80,1.418509769,5.367923007,1.346282108
81,-0.56294883,2.151040886,1.306541778
82,0.57849439,1.79094554,2.674134778
83,0.106792613,7.143188582,1.339307373
84,0.175100005,4.714402859,2.087822322
